-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100
10;3;21;0.33;3.33;0;2;7;13;0.46;-0.38;2.15;0;4;4;3;1;12;0;1.92;1;2;0;5;0;0;1;0;0;3
0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100
2;1;10;0.1;0.67;0;1;2;7;0.71;-0.14;1.43;0;0;0;0;0;0;0;0;0;1;0;3;0;1;1;0;0.33;3
0;0;1;0;0;0;1;0;3;1;0.33;1.67;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100
0;0;0;0;0;0;0;0;7;1;0;1.86;0;2;1;3;0;6;0;1.83;0;0;0;2;1;0;0;0;0;3
-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100
-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100
-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100
4;0;12;0.33;1.33;0;2;3;9;0.67;-0.11;1.78;0;0;0;0;0;0;0;0;0;4;0;4;0;5;1;0;1.67;3
14;5;32;0.28;4.67;0;2;0;11;1;0.18;1.55;0;0;0;0;0;0;0;0;1;4;0;10;1;1;1;0;0.33;3
-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100
0;1;4;-0.25;0;0;1;1;12;0.92;0;1.58;0;0;0;0;0;0;0;0;30;81;0;5;1;0;0;0;0;3
0;0;0;0;0;0;0;0;0;0;0;0;0;5;9;6;4;24;0;1.62;1;5;0;7;1;0;0;0;0;3
3;3;15;0;1;0;1;2;11;0.82;-0.09;1.82;0;4;5;0;1;10;0;2.2;0;1;0;10;0;0;0;0;0;3
24;20;91;0.04;0;0;5;8;60;0.87;-0.05;1.98;0;10;15;24;6;55;0;1.53;22;96;0;55;4;0;0;1;0;0
33;13;95;0.21;0;0;10;15;74;0.8;-0.07;1.74;0;15;19;12;6;52;0;1.83;33;98;0;47;4;8;4;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;14;2;31;0;1.61;0;5;0;8;1;0;0;0;0;3
-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100
-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100
-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100
